product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Язык,5963.0,624,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1990-02-17,2012-03-14,0.75,Cancelled
2,Лимон,5894.0,706,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1997-04-08,1999-05-16,1.63,Awaiting Payment
3,Матрасы,6203.0,81,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2007-01-06,2020-01-02,3.88,Shipping
4,Кавказская,9305.0,631,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2012-10-05,2018-08-03,5.0,Available for Pickup
5,Каша из дробленой булгура,584.0,106,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2018-01-16,2021-01-01,3.7,Backorder
6,Чеснок,9116.0,722,Овощи,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2022-04-02,2024-01-05,4.96,Cancelled
7,Творог,9146.0,322,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2003-04-04,2023-05-01,3.98,Shipping
8,Йогурт,1039.0,23,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2015-07-02,2022-05-25,3.63,In Stock
9,Каша из риса дикого,2240.0,25,Бакалея,Помогает улучшить когнитивные функции и память.,1993-01-04,1996-07-15,2.35,Temporarily Unavailable
10,Каша из дробленой ячменя,8889.0,546,Бакалея,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2015-01-07,2021-07-11,2.49,In Stock
11,Яблоко,5876.0,719,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1991-12-22,2016-03-08,4.98,Temporarily Unavailable
12,Пакеты для библиотеки,3699.0,236,Товары для дома,Отличается простотой в использовании и хранении.,2019-03-03,2021-08-04,0.23,Shipping
13,Сервелат,9396.0,459,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2022-01-15,2030-06-05,3.37,Cancelled
14,Помело,5435.0,728,Фрукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2017-08-07,2027-04-11,3.69,In Stock
15,Бритвенный станок,5542.0,779,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-02-22,2021-01-10,3.3,Awaiting Review
16,Сухое молоко,1182.0,68,Бакалея,Используется в косметологии для ухода за кожей и волосами.,2004-01-01,2015-03-01,3.81,Cancelled
17,Пакеты для инструментов,7961.0,90,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2003-06-03,2024-02-10,4.17,Backorder
18,Блюдца,359.0,599,Товары для дома,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2002-01-05,2026-03-07,3.9,Out of Stock
19,Петрушка сушеная,4340.0,211,Бакалея,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2001-07-06,2022-02-04,1.16,Sold
20,Огурец,9039.0,28,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1992-01-14,2013-02-02,0.81,Awaiting Review
21,Камут,5518.0,197,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,1990-02-14,1995-01-17,1.79,Delivered
22,Персик,9088.0,638,Фрукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2014-11-13,2023-08-01,0.43,Delivered
23,Каша из манной крупы,4566.0,809,Бакалея,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1992-01-01,2002-06-08,1.31,Backorder
24,Паштет,1403.0,701,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2003-02-01,2005-02-16,2.3,Sold
25,Кардамон молотый,6395.0,114,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2016-01-08,2022-02-03,0.34,Sold
26,Чизбургеры,7360.0,214,Мясо,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2015-02-05,2027-04-10,2.72,In Stock
27,Гранат,7457.0,737,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,2000-02-12,2003-03-02,1.73,In Stock
28,Пажитник сушеный,3934.0,748,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1993-02-07,2000-04-18,2.66,Cancelled
29,Турнепс,4798.0,634,Овощи,Способствует улучшению работы пищеварительной системы.,1997-11-11,1999-05-21,3.29,Delivered
30,Шубат,9558.0,339,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1991-03-06,2002-05-07,3.91,Awaiting Payment
31,Кабанятина,7321.0,604,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2005-02-12,2014-10-05,3.06,Temporarily Unavailable
32,Фейхоа,5737.0,110,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2006-02-05,2015-01-18,1.26,Out of Stock
33,Куриные субпродукты,5767.0,641,Мясо,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1995-02-14,2003-11-18,0.35,Shipping
34,Сочи-Адлер,5885.0,459,Напитки,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2016-09-17,2020-02-16,3.11,In Stock
35,Кабачок,2193.0,778,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",2020-01-05,2021-07-01,1.66,On Backorder
36,Стейк,9424.0,367,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1997-05-20,2011-04-18,3.43,On Backorder
37,Пена для бритья,7807.0,486,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2019-02-01,2029-04-05,1.2,Cancelled
38,Топинамбур,9413.0,485,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,1996-01-25,2009-03-17,3.21,Awaiting Payment
39,Каша из дробленной ржаной крупы,1938.0,176,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-02-18,2010-02-13,4.73,In Stock
40,Лимонад классический,5399.0,217,Напитки,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2021-03-08,2029-06-03,4.29,New
41,Брокколи,8933.0,568,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2004-06-01,2019-02-03,4.38,Out of Stock
42,Пледы,2673.0,365,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2010-06-02,2025-01-01,2.56,Backorder
43,Цукини,9945.0,216,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,2008-01-10,2029-02-21,4.23,On Backorder
44,Пахта,982.0,311,Молочные продукты,"Подходит для приготовления как горячих, так и холодных блюд.",2015-04-05,2025-01-01,1.85,Temporarily Unavailable
45,Пакеты для уборки,1041.0,800,Товары для дома,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2021-05-02,2026-01-06,3.41,Delivered
46,Виноград,9151.0,920,Фрукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2002-03-08,2018-11-09,4.18,New
47,Апельсин,664.0,163,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2010-02-11,2025-05-01,4.72,Awaiting Review
48,Эндивий,1707.0,535,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2012-03-01,2029-07-09,0.4,Shipping
49,Fruko Schulz,6871.0,748,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2007-02-22,2026-01-25,0.98,Sold
50,Энчиладас с мясом,1861.0,557,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2010-10-01,2024-01-17,4.92,On Backorder
51,Каймак,448.0,618,Молочные продукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2000-02-03,2017-01-16,3.11,Sold
52,Камамбер,3804.0,748,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2003-08-03,2024-01-07,4.28,Pending
53,Окра,5368.0,311,Овощи,"Является источником витаминов группы B, необходимых для энергетического обмена.",2015-01-03,2017-08-14,2.42,On Backorder
54,Пахта,4269.0,867,Молочные продукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2000-07-17,2010-11-03,3.88,On Backorder
55,Мацони,7298.0,559,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,2015-02-06,2029-05-01,2.86,Out of Stock
56,Перец болгарский,2284.0,692,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2019-07-10,2029-01-08,2.32,Refunded
57,Чеддер,327.0,427,Молочные продукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2002-07-09,2019-01-12,4.24,Sold
58,Варенец,3751.0,677,Молочные продукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1994-02-10,2016-05-25,4.02,Pending
59,Моющее средство для посуды,9327.0,769,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1990-06-10,2007-01-03,4.95,In Stock
60,Мед,3680.0,63,Бакалея,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2013-02-03,2013-04-14,4.27,New
61,Тартар,2789.0,629,Мясо,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2007-06-15,2024-02-06,2.5,In Stock
62,Стиральный порошок,3274.0,173,Товары для дома,Прошел строгий контроль качества на всех этапах производства.,2022-01-11,2022-02-08,3.17,Shipping
63,Волжанка,4583.0,565,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,2007-01-03,2008-03-03,2.69,In Stock
64,Творог,2645.0,906,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2006-01-01,2023-04-11,4.68,Temporarily Unavailable
65,Укроп,418.0,773,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2004-04-10,2025-12-12,2.96,Backorder
66,Портулак,5862.0,467,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2006-06-08,2015-01-06,1.27,Refunded
67,Сковороды,7331.0,951,Товары для дома,Отличается хорошей совместимостью с другими продуктами питания.,2010-01-03,2011-02-09,1.23,In Stock
68,Златоустовская,6880.0,284,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2005-02-03,2007-01-07,2.6,Sold
69,Плавленые сырки,294.0,561,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,1991-05-02,1998-04-10,0.68,Cancelled
70,Мускатный орех молотый,7662.0,582,Бакалея,Идеален для перекусов между основными приемами пищи.,2014-01-01,2027-05-10,0.23,Shipping
71,Каша из дробленной манной крупы,6300.0,595,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,1995-03-01,1998-09-21,1.78,Returned
72,Лопатка,6792.0,860,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1994-05-06,2020-06-06,2.27,Backorder
73,Пакеты для косметики,2528.0,800,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2021-02-20,2025-07-07,4.59,In Stock
74,Консервированные бобы,5368.0,99,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2004-11-07,2012-05-12,4.32,Temporarily Unavailable
75,Патиссон,9035.0,645,Овощи,Может быть использован в выпечке для придания ей особой пышности и аромата.,2008-01-04,2026-11-08,0.7,Pending
76,Ласси,6719.0,704,Молочные продукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2009-01-03,2020-01-27,3.66,New
77,Фета,2646.0,177,Молочные продукты,"Является источником антиоксидантов, замедляющих процессы старения.",2019-05-18,2030-04-13,3.11,Delivered
78,Буррито с мясом,8077.0,900,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-11-19,2025-02-25,0.9,Sold
79,Нарзан,9200.0,370,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2008-05-10,2026-09-01,0.87,Cancelled
80,Варено-копченая колбаса,6208.0,869,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2008-05-01,2014-02-22,1.22,Out of Stock
81,Шашлык,9652.0,796,Мясо,Может быть использован в качестве заменителя менее полезных продуктов.,2013-02-23,2028-01-08,0.04,Temporarily Unavailable
82,Цукини,355.0,111,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1996-01-02,2004-01-18,3.36,Out of Stock
83,Ливерная колбаса,8641.0,19,Мясо,Прошел строгий контроль качества на всех этапах производства.,2013-01-03,2026-04-15,3.88,Cancelled
84,Шампунь,6979.0,118,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-01-19,2011-01-03,0.39,In Stock
85,Ярославская,3208.0,774,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1991-02-16,2005-09-02,0.49,Returned
86,Пахта,7425.0,699,Молочные продукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2013-10-08,2016-08-01,0.46,Available for Pickup
87,Пакеты для подарков,1882.0,403,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2005-01-06,2024-03-03,2.46,Awaiting Review
88,Баранина,6696.0,63,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2000-01-22,2013-10-26,1.43,Awaiting Review
89,Пакеты для микроволновки,7073.0,568,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-05-02,2013-06-07,3.78,Available for Pickup
90,Авокадо,8972.0,297,Фрукты,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2015-01-01,2015-01-04,3.99,Pending
91,Лен семена,9401.0,399,Бакалея,Идеален для перекусов между основными приемами пищи.,1995-05-12,2030-01-03,2.6,Out of Stock
92,Куриные ножки,9406.0,209,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2015-02-07,2017-03-07,1.49,Available for Pickup
93,Пастернак,4118.0,498,Овощи,"Является источником витаминов группы B, необходимых для энергетического обмена.",2005-02-22,2007-02-04,4.06,Cancelled
94,Конина,1666.0,858,Мясо,Является важным компонентом рациона для поддержания гормонального баланса.,2009-01-19,2013-06-12,3.96,Shipping
95,Пакеты для Дня отца,1641.0,411,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1995-01-02,1996-02-01,0.91,Backorder
96,Пастернак,3813.0,953,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2002-02-06,2024-04-08,4.15,Awaiting Review
97,Кровяная колбаса,2479.0,917,Мясо,Способствует нормализации обмена веществ в организме.,2020-03-09,2030-01-09,4.4,Cancelled
98,Гуляш,4777.0,226,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-01-14,2024-05-01,2.7,In Stock
99,Каша из дробленной пшеничной крупы,1965.0,469,Бакалея,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1998-08-03,2017-03-03,0.66,Shipping
100,Конина,8696.0,208,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2014-01-28,2020-07-06,0.78,Backorder
101,Шампунь,2703.0,924,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2014-04-01,2025-06-03,3.12,Pending
102,Щавель,3356.0,495,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2013-04-09,2014-01-28,1.32,Awaiting Review
103,Матрасы,4920.0,897,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,1999-03-01,2019-06-14,3.93,New
104,Пакеты для косметики,9679.0,719,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,1990-01-04,2014-05-04,0.8,Returned
105,Пакеты для Дня смеха,3321.0,190,Товары для дома,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2006-03-01,2011-01-08,0.7,Returned
106,Пятновыводитель,2585.0,184,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-01-07,2016-04-10,2.84,On Backorder
107,Отбивная,4004.0,472,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1998-05-14,2017-11-04,1.72,Shipping
108,Клубника,8481.0,549,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2014-08-05,2015-01-04,4.59,Available for Pickup
109,Брокколи,2669.0,661,Овощи,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2008-03-03,2010-08-05,1.24,Awaiting Payment
110,Каша из полбы,5254.0,606,Бакалея,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2021-03-06,2027-02-07,1.9,Delivered
111,Пахта,1135.0,848,Молочные продукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2012-01-05,2027-01-05,2.8,Delivered
112,Паприка острая молотая,597.0,928,Бакалея,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2005-06-09,2012-01-01,1.63,Available for Pickup
113,Севастопольская,9806.0,495,Напитки,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2002-04-01,2019-05-13,0.99,On Backorder
114,Конина,9010.0,991,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2019-10-20,2025-01-13,1.08,Out of Stock
115,Швабра,3056.0,888,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2003-04-02,2027-01-23,0.9,Pending
116,Молоко,2912.0,176,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2000-01-11,2017-01-06,2.67,Awaiting Review
117,Кокос,2947.0,313,Фрукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1999-01-06,2016-02-06,2.67,Cancelled
118,Молоко,5941.0,558,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2001-01-12,2002-02-03,0.34,Temporarily Unavailable
119,Панчетта,8388.0,558,Мясо,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2017-11-06,2030-11-03,2.13,On Backorder
120,Пакеты для путешествий,7013.0,38,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2000-01-20,2007-07-06,1.27,Refunded
121,Адыгейский сыр,9315.0,56,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2005-01-01,2014-08-03,0.82,On Backorder
122,Куриные ножки,6345.0,663,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1996-08-05,2018-05-22,1.13,Sold
123,Спаржа,2457.0,938,Овощи,"Помогает улучшить состояние волос, ногтей и кожи.",2007-02-06,2025-01-01,4.42,New
124,Пакеты для Всемирного дня поэзии,3992.0,437,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2015-11-07,2024-01-02,2.33,Available for Pickup
125,Серебряный ключ,4777.0,26,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",1995-07-03,2022-06-10,1.46,On Backorder
126,Золотое молоко,4419.0,408,Напитки,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1999-04-01,2011-01-01,4.96,Out of Stock
127,Пастернак,2631.0,957,Овощи,"Обладает мягким вкусом, который нравится многим потребителям.",2022-03-13,2023-02-08,1.08,New
128,Освежитель воздуха,4193.0,827,Товары для дома,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1999-01-02,2020-06-11,2.96,Backorder
129,Курт,2182.0,914,Молочные продукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2021-05-12,2025-07-03,0.63,Awaiting Review
130,Слива,6658.0,598,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2004-01-04,2019-02-02,1.28,Out of Stock
131,Подставки под горячие блюда,5673.0,274,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1997-09-12,2028-02-18,4.62,Awaiting Payment
132,Курт,2562.0,701,Молочные продукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1996-09-10,2004-10-12,4.57,In Stock
133,Нафтуся,5699.0,946,Напитки,Прошел все необходимые сертификации и соответствует международным стандартам.,2021-03-02,2023-02-03,1.06,Sold
134,Топинамбур,1064.0,261,Овощи,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2013-04-02,2028-01-16,1.49,Sold
135,Козлятина,8860.0,256,Мясо,Служит основой для создания множества кулинарных шедевров.,2013-01-17,2014-08-03,3.52,Backorder
136,Adrenaline Rush,991.0,679,Напитки,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2009-03-12,2023-06-18,0.1,Shipping
137,Стейк,9030.0,733,Мясо,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2011-05-05,2022-05-15,3.89,Backorder
138,Пакет для заморозки,7047.0,845,Товары для дома,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2017-03-01,2020-01-03,0.94,Shipping
139,Сметана,2246.0,218,Молочные продукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1996-05-08,2002-02-05,4.9,Delivered
140,Лук-порей,3162.0,418,Овощи,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2010-04-01,2026-02-20,0.55,Delivered
141,Каша из дробленой ржи,6263.0,303,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2017-03-05,2026-02-02,2.76,Sold
142,Капуста белокочанная,6170.0,430,Овощи,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1993-01-02,2020-07-01,1.14,Awaiting Review
143,Великолукская,7111.0,337,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,2006-01-07,2012-01-01,2.27,Pending
144,Бритвенный станок,6203.0,850,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2017-04-08,2022-02-16,4.49,Shipping
145,Кострец,9385.0,963,Мясо,Способствует снижению уровня стресса и улучшению настроения.,1997-01-01,2027-03-26,2.98,Returned
146,Mountain Dew,7303.0,331,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2011-01-13,2014-05-08,4.48,New
147,Банан,9640.0,208,Фрукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2013-04-01,2013-04-27,1.35,In Stock
148,Сок морковный,4913.0,377,Напитки,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-02-04,2027-08-06,0.17,Refunded
149,Гуляш,9561.0,152,Мясо,Помогает предотвратить дефицит витаминов и минералов в организме.,1997-04-12,2009-09-09,3.91,Delivered
